Overriding config with config/train_shakespeare_char.py:
# This is a config file for training a character-level GPT model on the shakespeare dataset

out_dir = 'out-shakespeare-char'
eval_interval = 250 
eval_iters = 200
log_interval = 10 

always_save_checkpoint = False

wandb_log = False 
wandb_project = 'shakespeare-char'
wandb_run_name = 'shakespeare-char_hp'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 16 #64
block_size = 512 #256

n_layer = 12 #6
n_head = 12 #6
n_embd = 384
dropout = 0.2

learning_rate = 1e-2 #1e-3
max_iters = 8000 #5000
lr_decay_iters = 8000 #5000 # make equal to max_iters usually
min_lr = 1e-3 #1e-4 # learning_rate / 10 usually
beta2 = 0.99 

warmup_iters = 200 #100
tokens per iteration will be: 8,192
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 21.32M
/home/ikulkar1/testprojects/gpt2/nanoGPT/train.py:163: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 50, with 21,455,232 parameters
num non-decayed parameter tensors: 98, with 60,672 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2171, val loss 4.2089
iter 0: loss 4.2252, time 38022.06ms, mfu -100.00%
iter 10: loss 3.0035, time 39.65ms, mfu 10.35%
iter 20: loss 2.7035, time 40.86ms, mfu 10.32%
iter 30: loss 2.5903, time 40.44ms, mfu 10.30%
iter 40: loss 2.5527, time 40.01ms, mfu 10.29%
iter 50: loss 2.5306, time 40.20ms, mfu 10.28%
iter 60: loss 2.5329, time 39.25ms, mfu 10.30%
iter 70: loss 2.5238, time 39.53ms, mfu 10.31%
iter 80: loss 2.5490, time 40.55ms, mfu 10.29%
iter 90: loss 2.5431, time 40.34ms, mfu 10.28%
iter 100: loss 2.5296, time 41.10ms, mfu 10.25%
iter 110: loss 2.5141, time 40.66ms, mfu 10.23%
iter 120: loss 2.5275, time 39.29ms, mfu 10.25%
iter 130: loss 2.5481, time 40.99ms, mfu 10.23%
iter 140: loss 2.5310, time 40.07ms, mfu 10.23%
iter 150: loss 2.4857, time 40.66ms, mfu 10.21%
iter 160: loss 2.5230, time 40.88ms, mfu 10.20%
iter 170: loss 2.5171, time 41.56ms, mfu 10.16%
iter 180: loss 2.5307, time 41.24ms, mfu 10.14%
iter 190: loss 2.5003, time 40.93ms, mfu 10.13%
iter 200: loss 2.4879, time 40.84ms, mfu 10.12%
iter 210: loss 2.4988, time 40.92ms, mfu 10.11%
iter 220: loss 2.4905, time 40.84ms, mfu 10.11%
iter 230: loss 2.5143, time 40.76ms, mfu 10.10%
iter 240: loss 2.4958, time 40.32ms, mfu 10.11%
step 250: train loss 2.4842, val loss 2.5024
saving checkpoint to out-shakespeare-char
iter 250: loss 2.5039, time 5458.24ms, mfu 9.10%
iter 260: loss 2.4948, time 41.24ms, mfu 9.19%
iter 270: loss 2.4726, time 40.74ms, mfu 9.28%
iter 280: loss 2.4889, time 41.01ms, mfu 9.35%
iter 290: loss 2.4764, time 41.08ms, mfu 9.41%
iter 300: loss 2.4955, time 40.27ms, mfu 9.49%
iter 310: loss 2.4974, time 41.41ms, mfu 9.53%
iter 320: loss 2.4755, time 41.36ms, mfu 9.57%
iter 330: loss 2.5037, time 41.15ms, mfu 9.61%
iter 340: loss 2.4750, time 41.13ms, mfu 9.65%
iter 350: loss 2.4611, time 41.11ms, mfu 9.68%
iter 360: loss 2.4942, time 41.72ms, mfu 9.70%
iter 370: loss 2.4973, time 40.75ms, mfu 9.73%
iter 380: loss 2.4824, time 41.39ms, mfu 9.75%
iter 390: loss 2.4922, time 41.69ms, mfu 9.76%
iter 400: loss 2.5245, time 41.22ms, mfu 9.78%
iter 410: loss 2.4916, time 41.58ms, mfu 9.79%
iter 420: loss 2.5174, time 40.82ms, mfu 9.81%
iter 430: loss 2.5021, time 41.03ms, mfu 9.83%
iter 440: loss 2.5172, time 41.03ms, mfu 9.85%
iter 450: loss 2.5290, time 41.26ms, mfu 9.86%
iter 460: loss 2.5154, time 41.06ms, mfu 9.87%
iter 470: loss 2.4758, time 40.50ms, mfu 9.90%
iter 480: loss 2.4901, time 41.19ms, mfu 9.90%
iter 490: loss 2.4775, time 40.80ms, mfu 9.92%
step 500: train loss 2.4866, val loss 2.5051
iter 500: loss 2.4960, time 5188.87ms, mfu 8.93%
iter 510: loss 2.4776, time 41.39ms, mfu 9.03%
iter 520: loss 2.5019, time 41.46ms, mfu 9.12%
iter 530: loss 2.4907, time 41.23ms, mfu 9.20%
iter 540: loss 2.5240, time 41.13ms, mfu 9.28%
iter 550: loss 2.4790, time 40.64ms, mfu 9.36%
iter 560: loss 2.4909, time 41.54ms, mfu 9.41%
iter 570: loss 2.5180, time 40.91ms, mfu 9.47%
